Data;Period;Value
Dengue cases (any);W17 2021Sun 2021;14.0
Dengue cases (any);W18 2021Sun 2021;14.0
Dengue cases (any);W19 2021Sun 2021;21.0
Dengue cases (any);W2 2021Sun 2021;22.0
Dengue cases (any);W20 2021Sun 2021;15.0
Dengue cases (any);W21 2021Sun 2021;36.0
Dengue cases (any);W22 2021Sun 2021;38.0
Dengue cases (any);W23 2021Sun 2021;37.0
Dengue cases (any);W24 2021Sun 2021;30.0
Dengue cases (any);W25 2021Sun 2021;38.0
Dengue cases (any);W26 2021Sun 2021;29.0
Dengue cases (any);W27 2021Sun 2021;33.0
Dengue cases (any);W28 2021Sun 2021;40.0
Dengue cases (any);W29 2021Sun 2021;54.0
Dengue cases (any);W3 2021Sun 2021;11.0
Dengue cases (any);W30 2021Sun 2021;59.0
Dengue cases (any);W31 2021Sun 2021;61.0
Dengue cases (any);W32 2021Sun 2021;52.0
Dengue cases (any);W33 2021Sun 2021;60.0
Dengue cases (any);W34 2021Sun 2021;71.0
Dengue cases (any);W35 2021Sun 2021;65.0
Dengue cases (any);W36 2021Sun 2021;54.0
Dengue cases (any);W37 2021Sun 2021;46.0
Dengue cases (any);W38 2021Sun 2021;43.0
Dengue cases (any);W39 2021Sun 2021;40.0
Dengue cases (any);W4 2021Sun 2021;6.0
Dengue cases (any);W40 2021Sun 2021;58.0
Dengue cases (any);W41 2021Sun 2021;39.0
Dengue cases (any);W42 2021Sun 2021;41.0
Dengue cases (any);W43 2021Sun 2021;32.0
Dengue cases (any);W44 2021Sun 2021;75.0
Dengue cases (any);W45 2021Sun 2021;41.0
Dengue cases (any);W46 2021Sun 2021;45.0
Dengue cases (any);W47 2021Sun 2021;17.0
Dengue cases (any);W48 2021Sun 2021;40.0
Dengue cases (any);W49 2021Sun 2021;13.0
Dengue cases (any);W5 2021Sun 2021;4.0
Dengue cases (any);W50 2021Sun 2021;12.0
Dengue cases (any);W51 2021Sun 2021;16.0
Dengue cases (any);W52 2021Sun 2021;13.0
Dengue cases (any);W6 2021Sun 2021;2.0
Dengue cases (any);W7 2021Sun 2021;5.0
Dengue cases (any);W8 2021Sun 2021;6.0
Dengue cases (any);W9 2021Sun 2021;10.0
Dengue cases (any);W1 2022Sun 2022;14.0
Dengue cases (any);W10 2022Sun 2022;18.0
Dengue cases (any);W11 2022Sun 2022;46.0
Dengue cases (any);W12 2022Sun 2022;45.0
Dengue cases (any);W13 2022Sun 2022;30.0
Dengue cases (any);W14 2022Sun 2022;30.0
Dengue cases (any);W15 2022Sun 2022;41.0
Dengue cases (any);W16 2022Sun 2022;70.0
Dengue cases (any);W17 2022Sun 2022;86.0
Dengue cases (any);W18 2022Sun 2022;155.0
Dengue cases (any);W19 2022Sun 2022;170.0
Dengue cases (any);W2 2022Sun 2022;15.0
Dengue cases (any);W20 2022Sun 2022;223.0
Dengue cases (any);W21 2022Sun 2022;341.0
Dengue cases (any);W22 2022Sun 2022;466.0
Dengue cases (any);W23 2022Sun 2022;826.0
Dengue cases (any);W24 2022Sun 2022;979.0
Dengue cases (any);W25 2022Sun 2022;1352.0
Dengue cases (any);W26 2022Sun 2022;1593.0
Dengue cases (any);W27 2022Sun 2022;1877.0
Dengue cases (any);W28 2022Sun 2022;1848.0
Dengue cases (any);W29 2022Sun 2022;1913.0
Dengue cases (any);W3 2022Sun 2022;7.0
Dengue cases (any);W30 2022Sun 2022;2014.0
Dengue cases (any);W31 2022Sun 2022;1856.0
Dengue cases (any);W32 2022Sun 2022;1931.0
Dengue cases (any);W33 2022Sun 2022;1763.0
Dengue cases (any);W34 2022Sun 2022;1441.0
Dengue cases (any);W35 2022Sun 2022;1463.0
Dengue cases (any);W36 2022Sun 2022;1253.0
Dengue cases (any);W37 2022Sun 2022;1333.0
Dengue cases (any);W38 2022Sun 2022;1143.0
Dengue cases (any);W39 2022Sun 2022;876.0
Dengue cases (any);W4 2022Sun 2022;13.0
Dengue cases (any);W40 2022Sun 2022;881.0
Dengue cases (any);W41 2022Sun 2022;640.0
Dengue cases (any);W42 2022Sun 2022;670.0
Dengue cases (any);W43 2022Sun 2022;451.0
Dengue cases (any);W44 2022Sun 2022;476.0
Dengue cases (any);W45 2022Sun 2022;582.0
Dengue cases (any);W46 2022Sun 2022;391.0
Dengue cases (any);W47 2022Sun 2022;354.0
Dengue cases (any);W48 2022Sun 2022;377.0
Dengue cases (any);W49 2022Sun 2022;382.0
Dengue cases (any);W5 2022Sun 2022;19.0
Dengue cases (any);W50 2022Sun 2022;306.0
Dengue cases (any);W51 2022Sun 2022;238.0
Dengue cases (any);W52 2022Sun 2022;97.0
Dengue cases (any);W6 2022Sun 2022;12.0
Dengue cases (any);W7 2022Sun 2022;11.0
Dengue cases (any);W8 2022Sun 2022;19.0
Dengue cases (any);W9 2022Sun 2022;30.0
